Año,Carrera,Mujeres,Hombres,NuevaMujeres,NuevaHombres,NotaCorte
2017,Informática,141,1187,32,231,9.122
2017,Informática (Ceuta),10,50,
2017,Teleco,90,380,21,64,9.849
2017,DGIIM,50,140,17,29,12.53
2017,DGIADE,,,10,30,
2016,DGIIM,38,122,,,11.781
2016,Teleco,86,386,,9.450
2016,Informática,126,1148,,8.427
2016,Informática (Ceuta),9,43
2015,Informática,112,1051,,,7.798
2015,Informática (Ceuta),10,39
2015,DGIIM,31,99,,,11.127
2015,Teleco,78,386,,,10.594
2014,Informática,93,956
2014,Informática (Ceuta),7,37
2014,DGIIM,30,79
2014,Teleco,73,356
2013,Informática,75,809
2013,Informática (Ceuta),4,25
2013,DGIIM,23,54
2013,Teleco,70,257
